соте, теос
лихо, хило
реальном, моральне
см, мс
со, ос
се, ес
си, ис
то, от
те, ет
та, ат
граду, друга
частоте, отсчета
fsb, bsf
ін, ні
ім, мі
знали, линза
выход, входы
shader, shared
сеткой, стойке
вченого, вечного
ea, ae
ed, de
ds, sd
dr, rd
di, id
dh, hd
en, ne
em, me
es, se
ei, ie
fs, sf
ins, sin
fp, pf
gs, sg
стирание, старении
ba, ab
ac, ca
bd, db
bp, pb
cr, rc
ide, edi
lp, pl
mp, pm
ms, sm
ni, in
nl, ln
os, so
ir, ri
it, ti
iv, vi
кб, бк
им, ми
tx, xt
ко, ок
такие, етика
wr, rw
на, ан
ps, sp
ра, ар
ts, st
ом, мо
он, но
sr, rs
от, то
во, ов
обнару, набору
байтам, мбайта
да, ад
лето, тело
закону, ознаку
lost, slot
ми, им
ин, ни
он, но
об, бо
isdn, insd
очевидны, двоичные
iso, soi
bus, sub, usb
ммх, хмм
мса, сам, мас
цепочек, цепочке
адже, даже
cts, stc
daa, aad
dac, adc
cld, lcd
clc, lcc
смак, макс
cpl, pcl
уладить, удалить
cpu, pcu
розбити, зробити
оба, або
dlp, dpl
dma, mda, amd
істин, стіни
отже, тоже
понад, подан
двох, вход
плате, тепла
вслучае, случаев
геба, бега
гена, нега
пота, топа
task, taks
пори, прио
рва, рав
чисел, числе
esp, pse
мету, тему
stream, master
типа, пита
темою, метою
меты, темы
таки, итак
про, пор
лапа, пала
серед, среде
бути, биту
pga, agp
операнде, передано
pvi, vip
стробы, быстро
дано, анод, одна
тами, мати
пути, типу
por, pro
активно, тановки
кмоп, комп
стало, слота
там, мат
пройшло, прошлой
тел, лет
сима, сами
ток, кто
растра, сартра
точке, точек, четко
ras, sar
учла, луча
сотни, ности
ficom, fcomi
нива, вина
красные, сканеры
близок, близко
від, дві
извлечений, величезний
kni, nki
італ, тіла
необ, небо
основна, основан
задан, назад
ядра, ряда
народи, родина
неопределено, определенное
масу, саму
design, signed
сеть, есть
nge, neg
через, резче
ядер, ядре, ряде
page, pega
кос, ско
один, одни
десята, дается
йде, дей
варто, товар
нас, сна
слове, слоев
словами, символа
мин, ним
сеть, есть
ронов, ровно
tsd, std
кода, дока
кожен, кожне
вдвое, вводе
вектор, треков
один, одни
конец, конце
рано, рона
vax, avx
привели, привиле
шинам, машин
игре, реги
вещи, вище
